========================================================================================================================
Five-Day Reversal Factor Performance Detailed Metrics (2010-2022) [After NEU]
========================================================================================================================
| Year | NEXT_1DAY_IC | NEXT_1DAY_AbsIC | NEXT_1DAY_RankIC | NEXT_1DAY_AbsRankIC | NEXT_1DAY_ICIR | NEXT_5DAY_IC | NEXT_5DAY_AbsIC | NEXT_5DAY_RankIC | NEXT_5DAY_AbsRankIC | NEXT_5DAY_ICIR | NEXT_20DAY_IC | NEXT_20DAY_AbsIC | NEXT_20DAY_RankIC | NEXT_20DAY_AbsRankIC | NEXT_20DAY_ICIR |
| 2018 | -0.0247      | 0.0688          | -0.0330          | 0.0851              | 0.3052         | -0.0260      | 0.0648          | -0.0266          | 0.0751              | 0.4012        | -0.0315       | 0.0734           | -0.0358            | 0.0816               | 0.4307        |
| 2019 | -0.0172      | 0.0508          | -0.0319          | 0.0711              | 0.2593         | -0.0224      | 0.0524          | -0.0394          | 0.0759              | 0.4275        | -0.0289       | 0.0508           | -0.0482            | 0.0690               | 0.5588        |
| 2020 | -0.0149      | 0.0648          | -0.0331          | 0.0813              | 0.1727         | -0.0168      | 0.0632          | -0.0353          | 0.0773              | 0.2658        | -0.0062       | 0.0504           | -0.0219            | 0.0611               | 0.1214        |
| 2021 | -0.0168      | 0.0535          | -0.0300          | 0.0700              | 0.2565         | -0.0200      | 0.0501          | -0.0319          | 0.0604              | 0.3992        | -0.0119       | 0.0405           | -0.0255            | 0.0520               | 0.2938        |
| 2022 | -0.0193      | 0.0621          | -0.0272          | 0.0830              | 0.2603         | -0.0258      | 0.0550          | -0.0310          | 0.0707              | 0.4691        | -0.0257       | 0.0549           | -0.0318            | 0.0706               | 0.4680        |

========================================================================================================================
Five-Day Reversal Factor Performance Detailed Metrics (2010-2022) [Before NEU]
========================================================================================================================
| Year | NEXT_1DAY_IC | NEXT_1DAY_AbsIC | NEXT_1DAY_RankIC | NEXT_1DAY_AbsRankIC | NEXT_1DAY_ICIR | NEXT_5DAY_IC | NEXT_5DAY_AbsIC | NEXT_5DAY_RankIC | NEXT_5DAY_AbsRankIC | NEXT_5DAY_ICIR | NEXT_20DAY_IC | NEXT_20DAY_AbsIC | NEXT_20DAY_RankIC | NEXT_20DAY_AbsRankIC | NEXT_20DAY_ICIR |
|------|--------------|-----------------|------------------|---------------------|----------------|--------------|-----------------|------------------|---------------------|----------------|---------------|------------------|-------------------|----------------------|-----------------|
| ALL  | -0.0283      | 0.0877          | -0.0489          | 0.1129              | 0.2554         | -0.0268      | 0.0844          | -0.0453          | 0.1073              | 0.3175        | -0.0199       | 0.0805           | -0.0331            | 0.0972               | 0.2472        |
| 2010 | -0.0614      | 0.1169          | -0.0842          | 0.1385              | 0.4520         | -0.0521      | 0.1048          | -0.0757          | 0.1262              | 0.4971        | -0.0169       | 0.0848           | -0.0334            | 0.1012               | 0.1993        |
| 2011 | -0.0397      | 0.0911          | -0.0537          | 0.1105              | 0.3609         | -0.0300      | 0.0881          | -0.0394          | 0.1035              | 0.3405        | -0.0313       | 0.0876           | -0.0370            | 0.0956               | 0.3573        |
| 2012 | -0.0385      | 0.0918          | -0.0608          | 0.1186              | 0.3463         | -0.0418      | 0.1023          | -0.0625          | 0.1265              | 0.4086        | -0.0265       | 0.0889           | -0.0313            | 0.1007               | 0.2981        |
| 2013 | -0.0388      | 0.0892          | -0.0685          | 0.1154              | 0.3640         | -0.0338      | 0.0932          | -0.0645          | 0.1243              | 0.3627        | -0.0095       | 0.0781           | -0.0346            | 0.1009               | 0.1216        |
| 2014 | -0.0244      | 0.0717          | -0.0627          | 0.1098              | 0.2579         | -0.0084      | 0.0585          | -0.0435          | 0.1009              | 0.1436        | -0.0006       | 0.0610           | -0.0180            | 0.0933               | 0.0098        |
| 2015 | -0.0378      | 0.0994          | -0.0632          | 0.1330              | 0.2988         | -0.0416      | 0.0975          | -0.0647          | 0.1292              | 0.4267        | -0.0418       | 0.1007           | -0.0524            | 0.1213               | 0.4151        |
| 2016 | -0.0264      | 0.0838          | -0.0480          | 0.1080              | 0.2412         | -0.0384      | 0.0845          | -0.0593          | 0.1039              | 0.4544        | -0.0335       | 0.0850           | -0.0480            | 0.1020               | 0.3941        |
| 2017 | -0.0150      | 0.0923          | -0.0350          | 0.1182              | 0.1291         | -0.0096      | 0.0798          | -0.0214          | 0.0979              | 0.1203        | -0.0160       | 0.0748           | -0.0231            | 0.0891               | 0.2139        |
| 2018 | -0.0232      | 0.0858          | -0.0326          | 0.1063              | 0.2223         | -0.0218      | 0.0854          | -0.0236          | 0.0995              | 0.2553        | -0.0290       | 0.0989           | -0.0330            | 0.1073               | 0.2932        |
| 2019 | -0.0187      | 0.0636          | -0.0351          | 0.0885              | 0.2216         | -0.0229      | 0.0651          | -0.0434          | 0.0938              | 0.3518        | -0.0310       | 0.0652           | -0.0526            | 0.0859               | 0.4755        |
| 2020 | -0.0103      | 0.0849          | -0.0310          | 0.1058              | 0.0910         | -0.0093      | 0.0792          | -0.0293          | 0.0965              | 0.1174        | 0.0029        | 0.0659           | -0.0152            | 0.0787               | 0.0440        |
| 2021 | -0.0127      | 0.0774          | -0.0276          | 0.0955              | 0.1276         | -0.0160      | 0.0714          | -0.0297          | 0.0857              | 0.2241        | -0.0015       | 0.0641           | -0.0169            | 0.0763               | 0.0234        |
| 2022 | -0.0219      | 0.0940          | -0.0331          | 0.1212              | 0.1925         | -0.0239      | 0.0889          | -0.0317          | 0.1082              | 0.2688        | -0.0241       | 0.0933           | -0.0343            | 0.1129               | 0.2583        |
